"gene_name","gene_id_mat","chromosome_mat","gene_id_pat","chromosome_pat","num_reads_mouse_1_female_mat_bl6","num_reads_mouse_2_female_mat_bl6","num_reads_mouse_4_female_mat_bl6","num_reads_mouse_7_male_mat_bl6","num_reads_mouse_8_male_mat_bl6","num_reads_mouse_1_female_pat_cast","num_reads_mouse_2_female_pat_cast","num_reads_mouse_4_female_pat_cast","num_reads_mouse_7_male_pat_cast","num_reads_mouse_8_male_pat_cast"
"Dmrtc1a","ENSMUSG00000031323","X","MGP_CASTEiJ_G0034942","X",0,0,0,0,0,0,0,0,0,0
"Dnase1l1","ENSMUSG00000019088","X","MGP_CASTEiJ_G0034799","X",120,152,81,101,124,8,9,7,8,6
"Dock11","ENSMUSG00000031093","X","MGP_CASTEiJ_G0034594","X",0,0,0,0,0,0,0,0,0,0
"Drp2","ENSMUSG00000000223","X","MGP_CASTEiJ_G0035031","X",5,0,0,1,6,0,0,0,0,1
"Dusp21","ENSMUSG00000025043","X","MGP_CASTEiJ_G0034563","X",0,0,0,0,0,0,0,0,0,0
"Dusp9","ENSMUSG00000031383","X","MGP_CASTEiJ_G0034775","X",8,6,1,7,7,2,0,4,4,3
"Dynlt3","ENSMUSG00000031176","X","MGP_CASTEiJ_G0034536","X",742,807,507,868,970,45,42,34,27,29
"Ebp","ENSMUSG00000031168","X","MGP_CASTEiJ_G0034526","X",163,257,84,199,242,17,36,19,20,27
"Eda","ENSMUSG00000059327","X","MGP_CASTEiJ_G0034902","X",10,16,10,12,13,2,9,1,0,7
"Eda2r","ENSMUSG00000034457","X","MGP_CASTEiJ_G0034894","X",0,2,0,0,0,1,0,0,0,0
"Efhc2","ENSMUSG00000025038","X","MGP_CASTEiJ_G0034561","X",0,0,0,0,1,0,0,0,0,0
"Efnb1","ENSMUSG00000031217","X","MGP_CASTEiJ_G0034899","X",456,550,298,390,356,32,24,24,34,22
"Egfl6","ENSMUSG00000000402","X","MGP_CASTEiJ_G0035226","X",5167,5591,4291,6713,7354,584,698,693,676,913
"Eif1ax","ENSMUSG00000067194","X","MGP_CASTEiJ_G0035182","X",381,473,266,338,378,69,38,54,47,74
"Eif2c5","ENSMUSG00000085146","X","MGP_CASTEiJ_G0007388","X",0,0,0,0,1,0,0,0,0,0
"Eif2s3x","ENSMUSG00000035150","X","MGP_CASTEiJ_G0034872","X",50,65,65,66,51,125,142,106,48,60
"Elf4","ENSMUSG00000031103","X","MGP_CASTEiJ_G0034656","X",44,54,24,20,40,17,19,7,4,6
"Elk1","ENSMUSG00000009406","X","MGP_CASTEiJ_G0034580","X",47,51,41,44,53,11,17,18,12,17
"Emd","ENSMUSG00000001964","X","MGP_CASTEiJ_G0034797","X",67,81,64,58,60,18,18,15,14,17
"Enox2","ENSMUSG00000031109","X","MGP_CASTEiJ_G0034664","X",54,72,29,56,50,6,3,6,3,13
"Eras","ENSMUSG00000031160","X","MGP_CASTEiJ_G0034517","X",0,1,1,3,6,0,0,0,1,1
"Ercc6l","ENSMUSG00000051220","X","MGP_CASTEiJ_G0034934","X",4,4,1,3,8,0,0,1,2,3
"Esx1","ENSMUSG00000023443","X","MGP_CASTEiJ_G0035082","X",0,0,1,2,2,0,0,0,0,1
"Etd","ENSMUSG00000060967","X","MGP_CASTEiJ_G0034688","X",0,0,0,0,0,0,0,0,0,0
"F630028O10Rik","ENSMUSG00000078122","X","MGP_CASTEiJ_G0004606","X",0,0,0,0,2,0,0,0,0,0
"F8","ENSMUSG00000031196","X","MGP_CASTEiJ_G0034821","X",1,3,6,11,5,3,0,0,0,1
"F8a","ENSMUSG00000078317","X","MGP_CASTEiJ_G0034768","X",21,35,21,22,25,3,3,3,0,1
"F9","ENSMUSG00000031138","X","MGP_CASTEiJ_G0034719","X",0,0,0,0,0,0,0,0,0,0
"Fam120c","ENSMUSG00000025262","X","MGP_CASTEiJ_G0035143","X",31,38,24,29,20,4,1,7,10,4
"Fam122b","ENSMUSG00000036022","X","MGP_CASTEiJ_G0034685","X",13,16,17,9,13,1,2,2,3,0
"Fam122c","ENSMUSG00000036013","X","MGP_CASTEiJ_G0034686","X",0,0,0,0,0,0,0,0,0,0
"Fam199x","ENSMUSG00000042595","X","MGP_CASTEiJ_G0035081","X",144,113,97,98,97,25,27,31,28,34
"Fam3a","ENSMUSG00000031399","X","MGP_CASTEiJ_G0034808","X",153,182,115,198,251,45,67,48,18,8
"Fam47c","ENSMUSG00000078315","X","MGP_CASTEiJ_G0034845","X",0,0,0,0,0,0,0,0,0,0
